Name,B,F,Var,HD,HIP,RA,Dec,vis.mag.,abs.mag.,Dist. (ly),Sp. class,Notes,,ORDER tracé edges,RA2 h str,RA2 h nb,RA2 mn str,RA2 mn nb,RA2 sec str,RA2 sec nb,Dec2 h str,Dec2 h nb,Dec2 mn str,Dec2 mn nb,Dec2 sec str,Dec2 sec nb,RA2 h.,Dec2 deg.
,,,,92095,52136,10h 39m 05.74s,+53° 40′ 06.6″,5.55,−0.44,514,K3III,,,,10,10, 39,39, 05.74,5.74,+53,53, 40,40, 06.6,6.6,10.6515944444444,53.6685
59 UMa,,59,,101107,56770,11h 38m 20.69s,+43° 37′ 31.8″,5.56,2.26,149,F2II-III,,,,11,11, 38,38, 20.69,20.69,+43,43, 37,37, 31.8,31.8,11.6390805555556,43.6255
6 UMa,,6,,75958,43903,08h 56m 37.49s,+64° 36′ 14.5″,5.57,0.69,308,G6III,,,,08,8, 56,56, 37.49,37.49,+64,64, 36,36, 14.5,14.5,8.94374722222222,64.6040277777778
42 UMa,,42,,93875,53064,10h 51m 23.76s,+59° 19′ 12.9″,5.57,1.04,263,K2III,,,,10,10, 51,51, 23.76,23.76,+59,59, 19,19, 12.9,12.9,10.8566,59.32025
,,,,104438,58654,12h 01m 39.53s,+36° 02′ 32.2″,5.59,0.36,362,K0III,,,,12,12, 01,1, 39.53,39.53,+36,36, 02,2, 32.2,32.2,12.0276472222222,36.0422777777778
81 UMa,,81,,118214,66198,13h 34m 07.33s,+55° 20′ 54.4″,5.6,0.95,306[2],A0V,,,,13,13, 34,34, 07.33,7.33,+55,55, 20,20, 54.4,54.4,13.5687027777778,55.3484444444444
π1 UMa,π1,3,,72905,42438,08h 39m 11.74s,+65° 01′ 14.5″,5.63,4.86,47,G1.5Vb,Muscida; BY Draconis variable,,,08,8, 39,39, 11.74,11.74,+65,65, 01,1, 14.5,14.5,8.65326111111111,65.0206944444444
,,,,100615,56510,11h 35m 04.90s,+54° 47′ 07.4″,5.63,0.13,411,K0III,,,,11,11, 35,35, 04.90,4.9,+54,54, 47,47, 07.4,7.4,11.5846944444444,54.7853888888889
,,,,73017,42372,08h 38m 22.26s,+53° 24′ 05.7″,5.66,1.32,241,G8IV,,,,08,8, 38,38, 22.26,22.26,+53,53, 24,24, 05.7,5.7,8.63951666666667,53.4015833333333
43 UMa,,43,,93859,53043,10h 51m 11.08s,+56° 34′ 56.1″,5.66,0.51,350,K2III,,,,10,10, 51,51, 11.08,11.08,+56,56, 34,34, 56.1,56.1,10.8530777777778,56.58225
